access_no_snow,agency_name,agency_parent,agency_url,alternate_names,altitude_meters,backcountry,capacity_hut_max,capacity_hut_min,capacity_max,country,date_updated,designations,discretion,fee_hut_max,fee_hut_min,fee_hut_occupancy_max,fee_person_max,fee_person_min,fee_person_occupancy_min,has_optional_services,has_services,hut_url,is_fee_hut,is_fee_hut_occupancy_max,is_fee_person,is_fee_person_occupancy_min,is_restricted,is_snow_min_km,latitude,location_accuracy,location_references,locked,longitude,name,no_snow_min_km,open_summer,open_winter,photo_credit_name,photo_credit_url,photo_url,private,published,region,reservations,restriction,services,show_satellite,snow_min_km,state,structures,systems,types
Trail,,,,,3328,2,8,8,8,United States,2012-11-27,Arapaho National Forest,0,,,,,,,0,0,http://www.onlyskiing.com/?id=Blog&post=177,,0,,0,0,1,39.83257,3,,,-105.76895,First Creek Cabin,1.1,0,0,,,http://www.onlyskiing.com/Uploads/Uploads-BlogPhotos/177-FirstCreekCabin.jpg,0,1,Front Range,0,0,0,,1.1,Colorado,1,,Hut
Gated Dirt Road,Mount Tahoma Trails Association,,http://www.skimtta.com/,,1298,,,,,United States,2012-12-16,,0,,,,,,,,,,,0,,0,,1,46.67448,3,http://www.skimtta.com/map_south.htm,,-122.01292,Snowbowl Hut,,0,0,,,,0,1,Cascade Range,,,,,3.6,Washington,1,,Hut
Dirt Road,Elkton Cabins,,http://www.visitcrestedbutte.com/businesspage.cfm?businessid=294,,3255,2,6,6,6,United States,2012-11-01,Gunnison National Forest,0,,,,50,18,,0,0,http://www.visitcrestedbutte.com/businesspage.cfm?businessid=294,0,0,1,0,0,1,38.96350,2,,,-107.03731,Elkton Hut,0.0,,,,,,1,1,Elk Range,1,0,0,,9.6,Colorado,1,,Hut
Dirt Road,Elkton Cabins,,http://www.visitcrestedbutte.com/businesspage.cfm?businessid=294,,3255,2,8,8,8,United States,2012-11-01,Gunnison National Forest,0,,,,50,18,,0,0,http://www.visitcrestedbutte.com/businesspage.cfm?businessid=294,0,0,1,0,0,1,38.96350,2,,,-107.03731,Silver Jewel,0.0,,,,,,1,1,Elk Range,1,0,0,,9.6,Colorado,1,,Hut
Dirt Road,Elkton Cabins,,http://www.visitcrestedbutte.com/businesspage.cfm?businessid=294,,3255,2,12,12,12,United States,2012-11-01,Gunnison National Forest,0,,,,50,18,,0,0,http://www.visitcrestedbutte.com/businesspage.cfm?businessid=294,0,0,1,0,0,1,38.96350,2,,,-107.03731,Miner's Delight,0.0,,,,,,1,1,Elk Range,1,0,0,,9.6,Colorado,1,,Hut
Trail,Mount Rainier National Park,NPS,http://www.nps.gov/mora/,,1781,2,,,,United States,2012-12-17,Mount Rainier National Park,,,,,,,,,,http://www.nps.gov/mora/planyourvisit/shriner-peak.htm,,0,,0,,,46.81362,3,,1,-121.53054,Shriner Peak Lookout,6.7,,,Peter Stevens,http://www.flickr.com/photos/nordique/7984632202/,http://farm9.staticflickr.com/8171/7984632202_c7daf386a3_o_d.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Mount Rainier National Park,NPS,http://www.nps.gov/mora/,,2188,2,,,,United States,2012-12-17,Mount Rainier National Park,,,,,,,,,,http://www.nps.gov/mora/planyourvisit/mount-fremont-lookout.htm,,0,,0,,,46.93379,3,,1,-121.67546,Mount Fremont Lookout,4.3,,,Frank Kovalchek,http://commons.wikimedia.org/wiki/File:The_lonely_outpost_of_Mt._Fremont_lookout_in_Mt._Rainier_National_Park.jpg,http://upload.wikimedia.org/wikipedia/commons/9/92/The_lonely_outpost_of_Mt._Fremont_lookout_in_Mt._Rainier_National_Park.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Mount Rainier National Park,NPS,http://www.nps.gov/mora/,,1810,2,,,,United States,2012-12-17,Mount Rainier National Park,,,,,,,,,,http://www.nps.gov/mora/planyourvisit/tolmie-peak.htm,,0,,0,,,46.95755,3,,1,-121.88087,Tolmie Peak Lookout,5.1,,,Sharat Ganapati,http://www.flickr.com/photos/frozenchipmunk/7791926910/,http://farm9.staticflickr.com/8301/7791926910_f1406f048a_o.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Mount Rainier National Park,NPS,http://www.nps.gov/mora/,,1781,2,,,,United States,2012-12-17,Mount Rainier National Park,,,,,,,,,,http://www.nps.gov/mora/planyourvisit/gobblers-knob-trail.htm,,0,,0,,,46.79406,3,,1,-121.91472,Gobblers Knob Lookout,10.4,,,Ham Hock,http://www.flickr.com/photos/ham-hock/3837391841/,http://farm4.staticflickr.com/3451/3837391841_822887cff5_b.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,North Cascades National Park,NPS,http://www.nps.gov/noca/,,1824,2,,,,United States,2012-12-17,North Cascades National Park,,,,,,,,,,http://www.nps.gov/noca/planyourvisit/sourdough-mountain-trail.htm,,0,,0,,,48.74263,3,,1,-121.10936,Sourdough Mountain Lookout,8.3,,,R. Seifried / NPS,http://en.wikipedia.org/wiki/File:Sourdough_mountain_lookout.JPG,http://upload.wikimedia.org/wikipedia/commons/5/51/Sourdough_mountain_lookout.JPG,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,North Cascades National Park,NPS,http://www.nps.gov/noca/,,1859,2,,,,United States,2012-12-17,North Cascades National Park,,,,,,,,,,http://www.nps.gov/noca/planyourvisit/desolation-peak-trail.htm,,0,,0,,,48.91128,3,,1,-121.01643,Desolation Peak Lookout,10.9,,,Pete Hoffman,http://en.wikipedia.org/wiki/File:DesolationPeakLookout.jpg,http://upload.wikimedia.org/wikipedia/commons/e/e8/DesolationPeakLookout.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,North Cascades National Park,NPS,http://www.nps.gov/noca/,,1908,2,,,,United States,2012-12-17,North Cascades National Park,,,,,,,,,,http://www.nps.gov/noca/planyourvisit/copper-ridge-trail.htm,,0,,0,,,48.90844,3,,1,-121.46263,Copper Mountain Lookout,16.0,,,NPS Wilderness Rangers,http://www.flickr.com/photos/northcascadesnationalpark/5740316649/,http://farm3.staticflickr.com/2667/5740316649_a12d3e7bc6_o.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Olympic National Park,NPS,www.nps.gov/olym/,,1753,2,,,,United States,2012-12-17,Olympic National Park,,,,,,,,,,http://www.firelookout.com/wa/dodgerpoint.html,,0,,0,,,47.87409,3,,1,-123.50991,Dodger Point Lookout,21.6,,,NPS,http://en.wikipedia.org/wiki/File:Dodger_Point_Lookout_ONP1.jpg,http://upload.wikimedia.org/wikipedia/commons/3/3e/Dodger_Point_Lookout_ONP1.jpg,0,1,Olympic Mountains,,,,,,Washington,1,,Fire Lookout
Trail,Gifford Pinchot National Forest,USFS,http://www.fs.usda.gov/main/giffordpinchot/home,,1892,2,,,,United States,2012-12-17,Gifford Pinchot National Forest,,,,,,,,,,http://www.fs.usda.gov/recarea/giffordpinchot/recreation/climbing/recarea/?recid=17698&actid=51,,0,,0,,,48.20709,3,,1,-121.02891,Miners Ridge Lookout,9.3,,,USFS,,http://www.darringtonwatourism.com/_/rsrc/1313122008362/darrington-scenic-adventures/hiking-trails/pacific-crest-trail/viewer%203.png,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Gifford Pinchot National Forest,USFS,http://www.fs.usda.gov/main/giffordpinchot/home,,1732,2,,,,United States,2012-12-17,Gifford Pinchot National Forest,,,,,,,,,,http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31300&actid=50,,0,,0,,,46.68412,3,,1,-121.90215,High Rock Lookout,2.6,,,Nick Cramer,http://www.flickr.com/photos/cramerspot/4010547336/,http://farm4.staticflickr.com/3505/4010547336_8f1ee06654_o.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Gated Dirt Road,Gifford Pinchot National Forest,USFS,http://www.fs.usda.gov/main/giffordpinchot/home,,1513,2,,,,United States,2012-12-17,"Gifford Pinchot National Forest, Indian Heaven Wilderness",,,,,,,,,,http://www.firelookout.org/red-mountain.pdf,,0,,0,,,45.93473,3,,1,-121.82111,Red Mountain Lookout,6.2,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1716,2,,,,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",,,,,,,,,,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=18044,,0,,0,,,47.41713,3,,1,-121.48127,Granite Mountain Lookout,6.9,,,USFS,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5152025.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
2WD Road,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,Suntop Lookout,1607,1,,,,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",,,,,,,,,,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=18096,,0,,0,,1,47.04100,3,,1,-121.59648,Sun Top Lookout,0.0,,,Library of Congress,http://en.wikipedia.org/wiki/File:Suntop_lookout.jpg,http://upload.wikimedia.org/wikipedia/commons/6/60/Suntop_lookout.jpg,0,1,Cascade Range,,,,,1.6,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,518,2,,,,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",,,,,,,,,,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17934,,0,,0,,1,47.81061,3,,1,-121.52532,Heybrook Lookout,2.1,,,USFS,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5152022.jpg,0,1,Cascade Range,,,,,2.1,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1639,2,,,,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",,,,,,,,,,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=75366,,0,,0,,,47.16928,3,,1,-121.49037,Kelly Butte Lookout,2.7,,,USFS,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5326105.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1981,2,,,,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",,,,,,,,,,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=41669,,0,,0,,,48.29152,3,,1,-121.23862,Green Mountain Lookout,6.4,,,USFS,,http://ww2.hdnux.com/photos/12/40/40/2754561/4/628x471.jpg,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,2280,2,,,,United States,2012-04-05,Okanogan National Forest,,,,,,,,,,http://www.firelookout.com/wa/mebeepass.html,,0,,0,,,48.63729,1,,1,-120.77396,Mebee Pass Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,2212,2,,,,United States,2012-04-05,Okanogan National Forest,,,,,,,,,,http://www.firelookout.com/wa/bonaparte.html,,0,,0,,,48.78524,2,,1,-119.12231,Mount Bonaparte Lookout,,,,,,,0,1,Okanogan Highlands,,,,,,Washington,1,,Fire Lookout
,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,1530,2,,,,United States,2012-04-05,Okanogan National Forest,,,,,,,,,,http://www.firelookout.com/wa/leecher.html,,0,,0,,,48.25055,3,,1,-120.00220,Leecher Mountain Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,1987,2,,,,United States,2012-04-05,Okanogan National Forest,,,,,,,,,,http://www.firelookout.com/wa/monument83.html,,0,,0,,,49.00021,3,,1,-120.64522,Monument 83 Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,2133,2,,,,United States,2012-12-17,Okanogan National Forest,,,,,,,,,,http://www.fs.usda.gov/recarea/okawen/recreation/hiking/recarea/?recid=59259&actid=50,,0,,0,,,48.63216,3,,1,-120.40399,Goat Peak Lookout,4.0,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,2266,2,,,,United States,2012-04-05,Okanogan National Forest,,,,,,,,,,http://www.firelookout.com/wa/ntwentymile.html,,0,,0,,,48.75112,2,,1,-120.06842,North Twentymile Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
Trail,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,1681,2,,,,United States,2012-12-17,Okanogan National Forest,,,,,,,,,,http://www.fs.usda.gov/recarea/okawen/recreation/hiking/recarea/?recid=59307&actid=50,,0,,0,,,48.31322,3,,1,-120.18747,Lookout Mountain Lookout,2.1,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Olympic National Forest,USFS,www.fs.usda.gov/olympic/,,914,2,,,,United States,2012-04-05,Olympic National Forest,,,,,,,,,,http://www.firelookout.com/wa/pyramidmtn115.html,,0,,0,,,48.07460,2,,1,-123.80803,Pyramid Mountain Lookout,,,,,,,0,1,Olympic Mountains,,,,,,Washington,1,,Fire Lookout
